Year,Site,Habitat,Benthic Invertebrate Consumer,Browser,Brusher,Concealed Cropper,Corallivore,Cropper,Excavator,Herbivore/Detritivore,Omnivore,Piscivore,Scraper,Planktivore_exclusively,Fish Scale Consumer,Sediment Sucker,na,Unknown
2010,4,FO,41908.10999999999,1923.3000000000002,9814.020000000002,2030.68,248.03,3175.859999999999,2738.2,91.97999999999999,4817.799999999999,4735.0999999999995,1902.4999999999995,4963.52,0.97,NA,NA,NA
2010,4,FR,2968.639999999999,380.3,1224.48,689.35,5507.969999999998,666.4800000000002,443.30000000000007,7.609999999999999,6107.469999999998,4566.049999999999,495.66999999999996,24.95,NA,NA,NA,NA
2010,5,BA,4118.739999999999,NA,8290.61,193.8,1165.12,1475.1,3832.15,NA,973.8800000000002,1191.1,4201.9,1,NA,NA,NA,NA
2010,5,FO,9029.82,497.9,270.78,345.2,254.79000000000005,5971.740000000001,6097.199999999999,169.08999999999997,4085.4599999999996,2925,6956.33,1867.29,NA,NA,NA,NA
2010,5,FR,5684.68,25.4,4265.3499999999995,1607.4099999999999,2781.15,1091.4499999999998,4405.81,10.65,3372.3799999999997,2331.88,591.26,261.94,NA,NA,NA,NA
2010,6,BA,5307.429999999999,NA,5570.240000000001,136.34,1139.9299999999998,1725.01,2602.15,16,2304.3399999999997,48.6,2070.1699999999996,45.35,0.57,NA,NA,NA
2010,6,FO,8712.180000000002,1572.2000000000003,3621.92,1019.6999999999999,139.05,1030.06,13718.6,195.54,4708.92,3879.99,10947.599999999999,2464.8199999999997,5.81,NA,NA,NA
2010,6,FR,1972.9799999999998,54.2,8665.13,730.3799999999999,9912.57,794.77,4913.37,1.72,2372.6600000000003,382.8,2787.27,1071.85,NA,NA,NA,NA
2011,1,BA,1647.2699999999998,110.70000000000002,6105.33,275.89,850.73,2193.7400000000002,206.01999999999998,435.16,919.5800000000002,86.74000000000001,4856.38,0.63,NA,NA,NA,NA
2011,1,FO,2472.689999999999,536.8,275.7799999999999,2787.6,266.6,2841.7000000000003,3818,35.79,4413.519999999999,15058.46,11361,643.4,10.229999999999999,NA,NA,NA
2011,1,FR,3113.420000000001,488.9,3775.0699999999997,2722.41,1850.32,12317.170000000002,3407.49,16.14,3165.4400000000005,1248.99,2015.9600000000003,29.36,NA,NA,NA,NA
2011,2,BA,3776.9000000000005,280.3,14417.779999999999,4508.990000000001,1326.3899999999999,2165.1099999999997,2276.82,NA,1922.2800000000002,185.7,1813.66,142.08,3.74,NA,NA,NA
2011,2,FO,11729.559999999998,873.4,7144.6399999999985,2212.5,270.59,1836.84,7941.1,2.6399999999999997,8062.120000000001,4908.379999999999,16766.600000000002,4576.320000000001,9.54,125.3,NA,NA
2011,2,FR,4774.580000000002,2385.8900000000003,8152.8499999999995,5144.98,3136.53,1557.9900000000002,4830.68,0.73,7530.6100000000015,2295.0899999999997,2299.34,805.4699999999999,0.97,NA,NA,NA
2011,3,BA,2558.2899999999995,83.6,2772.3,1740.1799999999998,2180.1499999999996,581.9699999999999,1168.66,152.13,750.7599999999999,190,3059.6699999999996,5.75,NA,NA,NA,NA
2011,3,FO,32962.09,2512.4,15593.699999999999,3850.68,516.21,2075.79,3982.1000000000004,191.40000000000003,5092.919999999998,7574.460000000001,2896.9,28.79,2.23,NA,NA,NA
2011,3,FR,9110.200000000003,1083.6000000000001,3768.53,4293.78,2952.9100000000003,1119.8100000000002,2117.7200000000003,NA,2561.309999999999,650.0000000000001,2670.8500000000004,696.09,4.3,NA,NA,NA
2011,4,BA,2121.5200000000004,NA,4580.74,193.8,801.7,1103.8499999999997,236.61999999999995,NA,515.78,222.6,468,NA,NA,NA,NA,NA
2011,4,FO,17687.119999999984,1792.4,9994.72,1698.6,251.26000000000002,2997.0099999999998,4422.1,83.58999999999999,5341.94,20594.039999999994,3019.78,845.6300000000002,0.8699999999999999,128.58,NA,NA
2011,4,FR,5677.050000000002,24.8,1811.4500000000003,1336.3899999999999,2642.1399999999994,1623.5800000000002,122.5,-1,3226.0800000000004,832.3999999999999,1718.6800000000003,9.46,13.110000000000001,NA,NA,NA
